date,open,high,low,close,volume,pct,ma5,ma10,ma20,ma60,ma120,ma250
1990-12-19,96.05,99.98,95.79,99.98,126000,,,,,,,
1990-12-20,104.3,104.39,99.98,104.39,19700,4.410882176435282,,,,,,
1990-12-21,109.07,109.13,103.73,109.13,2800,4.5406648146374184,,,,,,
1990-12-24,113.57,114.55,109.13,114.55,3200,4.966553651608185,,,,,,
1990-12-25,120.09,120.25,114.55,120.25,1500,4.975993016150149,109.66,,,,,
1990-12-26,125.27,125.27,120.25,125.27,10000,4.1746361746361815,114.71799999999999,,,,,
1990-12-27,125.27,125.28,125.27,125.28,6600,0.007982757244362482,118.896,,,,,
1990-12-28,126.39,126.45,125.28,126.45,10800,0.9339080459770166,122.35999999999999,,,,,
1990-12-31,126.56,127.61,126.48,127.61,7800,0.917358639778576,124.97200000000001,,,,,
1991-01-02,127.61,128.84,127.61,128.84,9100,0.9638743045215836,126.69000000000001,118.175,,,,
1991-01-03,128.84,130.14,128.84,130.14,14100,1.009003415088472,127.66399999999999,121.19099999999999,,,,
1991-01-04,131.27,131.44,130.14,131.44,42000,0.9989242354387695,128.89600000000002,123.896,,,,
1991-01-07,131.99,132.06,131.45,132.06,21700,0.4716981132075526,130.01799999999997,126.189,,,,
1991-01-08,132.62,132.68,132.06,132.68,292600,0.46948356807512415,131.03199999999998,128.002,,,,
1991-01-09,133.3,133.34,132.68,133.34,560300,0.49743744347301444,131.932,129.311,,,,
1991-01-10,133.93,133.97,133.34,133.97,999000,0.47247637618119676,132.698,130.18099999999998,,,,
1991-01-11,134.61,134.61,134.51,134.6,1332700,0.47025453459730304,133.32999999999998,131.113,,,,
1991-01-14,134.11,135.19,134.11,134.67,1253000,0.052005943536403976,133.852,131.935,,,,
1991-01-15,134.21,134.74,134.19,134.74,144600,0.05197891141310862,134.26399999999998,132.648,,,,
1991-01-16,134.19,134.74,134.14,134.24,50900,-0.37108505269407566,134.44400000000002,133.18800000000002,125.6815,,,
1991-01-17,133.67,134.25,133.65,134.25,65800,0.007449344457688412,134.5,133.59900000000002,127.39500000000001,,,
1991-01-18,133.7,134.25,133.67,134.24,300400,-0.0074487895716846,134.42800000000003,133.879,128.8875,,,
1991-01-21,133.7,134.24,133.66,134.24,205100,0.0,134.342,134.09700000000004,130.143,,,
1991-01-22,133.72,134.24,133.66,133.72,35400,-0.3873659117997641,134.13799999999998,134.201,131.1015,,,
1991-01-23,133.17,133.72,133.14,133.17,109500,-0.4113072090936365,133.92400000000004,134.184,131.7475,,,
1991-01-24,132.61,133.17,132.57,132.61,185700,-0.42051513103550375,133.596,134.048,132.1145,,,
1991-01-25,132.05,132.07,132.03,132.05,344700,-0.42229092828595105,133.15800000000002,133.793,132.453,,,
1991-01-28,131.46,131.55,131.46,131.46,510700,-0.4468004543733417,132.602,133.47200000000004,132.7035,,,
1991-01-29,130.95,130.97,130.95,130.95,138700,-0.38795070743954385,132.048,133.093,132.87050000000002,,,
1991-01-30,130.44,130.95,130.41,130.44,52700,-0.38946162657502725,131.502,132.71300000000002,132.9505,,,
1991-01-31,129.93,130.46,129.93,129.97,51000,-0.36031892057650783,130.97400000000002,132.28500000000003,132.942,,,
1991-02-01,129.5,129.97,129.45,129.51,34500,-0.35392782949912327,130.46599999999998,131.812,132.8455,,,
1991-02-04,129.05,129.58,129.05,129.05,55300,-0.35518492780478583,129.98399999999998,131.293,132.695,,,
1991-02-05,128.56,128.58,128.53,128.58,856200,-0.36419992251065514,129.51000000000002,130.77900000000002,132.48999999999998,,,
1991-02-06,129.13,129.15,128.06,129.14,664100,0.43552652045417695,129.25,130.376,132.28000000000003,,,
1991-02-07,129.74,129.79,129.14,129.79,213300,0.5033297196840758,129.214,130.094,132.071,,,
1991-02-08,130.36,130.39,129.79,130.38,123400,0.4545804761537875,129.38799999999998,129.927,131.85999999999999,,,
1991-02-11,130.92,130.97,130.39,130.97,931700,0.452523393158466,129.772,129.878,131.675,,,
1991-02-12,131.54,131.56,130.97,131.35,377400,0.29014278078949296,130.32599999999996,129.918,131.5055,,,
1991-02-13,131.93,131.93,131.35,131.92,115200,0.4339550818424076,130.882,130.066,131.3895,,,
1991-02-14,132.53,132.53,132.3,132.53,362400,0.4624014554275524,131.43,130.322,131.30349999999999,,,
1991-02-19,133.12,133.14,133.08,133.13,174800,0.45272768429789334,131.98,130.684,131.248,,,
1991-02-20,133.63,133.67,133.13,133.67,87600,0.405618568316668,132.51999999999998,131.14600000000002,131.21949999999998,,,
1991-02-21,134.24,134.28,133.67,134.28,322000,0.4563477220019596,133.106,131.71599999999998,131.2475,,,
1991-02-22,134.85,134.87,134.28,134.87,342700,0.43938039916593397,133.696,132.289,131.3325,,,
1991-02-25,134.37,134.87,134.33,134.4,81000,-0.3484837250685824,134.07,132.75,131.422,,,
1991-02-26,133.9,134.44,133.9,133.93,109400,-0.34970238095237693,134.23,133.105,131.51600000000002,,,
1991-02-27,133.44,133.98,133.44,133.47,21400,-0.34346300306130617,134.19,133.355,131.6165,,,
1991-02-28,132.99,133.52,132.98,133.01,225800,-0.34464673709448945,133.936,133.52100000000002,131.71949999999998,,,
1991-03-01,132.53,132.53,132.47,132.53,712400,-0.36087512217125584,133.468,133.582,131.82399999999998,,,
1991-03-04,132.09,132.09,131.98,131.99,251800,-0.40745491586809957,132.986,133.528,131.925,,,
1991-03-05,131.42,131.99,131.41,131.46,98200,-0.4015455716342209,132.49200000000002,133.36100000000002,132.02249999999998,,,
1991-03-06,130.89,130.95,130.89,130.94,71900,-0.3955575840559944,131.98600000000002,133.08800000000002,132.11700000000002,,,
1991-03-07,130.41,130.94,130.41,130.41,56800,-0.40476554146937627,131.466,132.701,132.20850000000002,,,
1991-03-08,129.84,130.41,129.84,129.89,93300,-0.39874242772793833,130.93800000000002,132.203,132.24599999999998,,,
1991-03-11,129.3,129.89,129.3,129.31,51400,-0.44653168065285076,130.402,131.69400000000002,132.22199999999998,,,
1991-03-12,128.73,129.31,128.73,128.77,95700,-0.41760111360296115,129.86399999999998,131.178,132.1415,,,
