状态,代码,名称,科技归属,科技证据,日线买信号,日线日期,日线价格,周线买信号,周线日期,周线价格,最高单信号分,综合分
近1月日线+周线,SH.601179,中国西电,半导体产业链 / AI算力/数据中心产业链,半导体产业链 / 第三代半导体 / 第四代半导体；AI算力/数据中心产业链 / AI服务器/数据中心 / 数据中心,二买 / MACD绿柱扩大_零上,2026-05-26,16.18,MACD绿柱扩大_零上,2026-05-29,16.57,35,262.7
近1月日线+周线,SZ.003033,征和工业,机器人/自动化产业链,机器人/自动化产业链 / 自动化/机器人 / 机器人执行器,一买 / 背驰买,2026-05-15,52.38,MACD绿柱缩小_零下,2026-05-29,61.57,30,255.6
近1月日线+周线,SZ.002388,新亚制程,消费电子/华为链 / 半导体产业链,消费电子/华为链 / 消费电子/华为链 / 荣耀概念；半导体产业链 / 晶圆制造 / 其他电子Ⅱ,二买 / MACD绿柱扩大_零上 / 形态:头肩底,2026-05-22,5.1,MACD绿柱缩小_零下,2026-05-22,5.32,34.1,228.9
近1月日线+周线,SH.603221,爱丽家居,机器人/自动化产业链,机器人/自动化产业链 / 自动化/机器人 / 新型工业化,二买 / 三买 / 形态:头肩底,2026-05-18,11.82,MACD绿柱缩小_零下,2026-05-22,12.46,34.1,200.5
近1月日线+周线,SH.600406,国电南瑞,AI算力/数据中心产业链 / 半导体产业链,AI算力/数据中心产业链 / AI服务器/数据中心 / 数据中心 / 量子科技；半导体产业链 / 第三代半导体 / IGBT概念,一买,2026-05-29,24.7,MACD绿柱扩大_零上,2026-05-29,24.9,31.5,195.4
近1月日线+周线,SZ.300327,中颖电子,半导体产业链 / 消费电子/华为链 / 通信网络/5G产业链,半导体产业链 / 晶圆制造 / 半导体 / 半导体；半导体产业链 / 芯片设计 / 数字芯片设计 / 汽车芯片；消费电子/华为链 / 消费电子/华为链 / 柔性屏(折叠屏) / OLED / 智能穿戴,二买,2026-05-19,26.93,MACD绿柱缩小_零下,2026-05-15,27.7,34.1,193.4
近1月日线+周线,SH.688041,海光信息,半导体产业链 / AI算力/数据中心产业链,半导体产业链 / 芯片设计 / 数字芯片设计 / AI芯片 / 国产芯片；AI算力/数据中心产业链 / AI服务器/数据中心 / DeepSeek概念 / 算力概念 / 百度概念；AI算力/数据中心产业链 / 算力租赁/智算云服务 / 阿里概念,二买 / 三买 / MACD绿柱扩大_零上,2026-05-29,293.9,缺口买:普通,2026-05-08,323.28,42.9,191.5
近1月日线+周线,SH.600063,皖维高新,消费电子/华为链,消费电子/华为链 / 消费电子/华为链 / OLED,缺口买:普通,2026-05-28,6.95,MACD绿柱扩大_零上,2026-05-29,7,29.75,188.8
近1月日线+周线,SH.603045,福达合金,通信网络/5G产业链 / AI算力/数据中心产业链,通信网络/5G产业链 / 通信设备/网络建设 / 通信技术 / 5G概念；AI算力/数据中心产业链 / AI应用/智能体 / 智慧城市；AI算力/数据中心产业链 / AI服务器/数据中心 / 数据中心,二买 / 三买 / MACD绿柱扩大_零上,2026-05-29,62.2,缺口买:普通,2026-05-15,69.93,42.9,185.5
近1月日线+周线,SZ.000917,电广传媒,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 智谱AI概念,一买 / MACD绿柱缩小_零下,2026-05-29,7.96,MACD绿柱扩大_零上,2026-05-29,7.96,30,173.1
近1月日线+周线,SZ.002026,山东威达,机器人/自动化产业链,机器人/自动化产业链 / 自动化/机器人 / 工业母机,一买,2026-05-28,12.12,MACD绿柱缩小_零下,2026-05-29,12.28,30,168.5
近1月日线+周线,SH.600760,中航沈飞,军工装备产业链:航空航天/船舶 / 军工装备产业链:商业航天/卫星互联网 / AI算力/数据中心产业链,军工装备产业链 / 航空航天/船舶 / 大飞机 / 军民融合 / 无人机；军工装备产业链 / 商业航天/卫星互联网 / 航空装备Ⅲ / 航空装备Ⅱ / 航天航空；AI算力/数据中心产业链 / AI应用/智能体 / 安防概念,一买,2026-05-29,41.98,MACD绿柱缩小_零下,2026-05-22,45.175,30,168
