状态,代码,名称,科技归属,科技证据,日线买信号,日线日期,日线价格,周线买信号,周线日期,周线价格,最高单信号分,综合分
近1月日线+周线,SZ.300327,中颖电子,半导体产业链,半导体产业链 / 晶圆制造 / 半导体 / 半导体,二买,2026-05-19,26.93,MACD绿柱缩小_零下,2026-05-15,27.7,34.1,193.4
近1月日线+周线,SH.688041,海光信息,半导体产业链,半导体产业链 / 芯片设计 / 数字芯片设计 / AI芯片 / 国产芯片,二买 / 三买 / MACD绿柱扩大_零上,2026-05-29,293.9,缺口买:普通,2026-05-08,323.28,42.9,191.5
近1月日线+周线,SZ.002026,山东威达,机器人/自动化产业链,机器人/自动化产业链 / 自动化/机器人 / 工业母机,一买,2026-05-28,12.12,MACD绿柱缩小_零下,2026-05-29,12.28,30,168.5
近1月日线+周线,SH.600760,中航沈飞,军工装备产业链:航空航天/船舶,军工装备产业链 / 航空航天/船舶 / 大飞机 / 军民融合 / 无人机,一买,2026-05-29,41.98,MACD绿柱缩小_零下,2026-05-22,45.175,30,168
近1月日线+周线,SZ.300235,方直科技,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 垂直应用软件 / 虚拟数字人 / 元宇宙概念,MACD绿柱扩大_零上,2026-05-27,13.2,MACD绿柱缩小_零下,2026-05-15,13.945,31.5,159.6
近1月日线+周线,SH.603533,掌阅科技,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / AI应用 / AI语料 / 数字阅读 / 数字阅读平台,一买 / 缺口买:普通,2026-05-27,25.85,MACD绿柱扩大_零上,2026-05-29,24.04,31.5,155
近1月日线+周线,SZ.002185,华天科技,半导体产业链,半导体产业链 / 晶圆制造 / 集成电路封测,缺口买:持续 / 缺口买:普通,2026-05-27,20.15,缺口买:持续,2026-05-08,13.74,14,150.6
近1月日线+周线,SZ.002153,石基信息,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 垂直应用软件,一买,2026-05-28,8.09,MACD绿柱缩小_零下,2026-05-15,9.4,30,142.4
近1月日线+周线,SH.920953,国子软件,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / AI应用 / 数据安全 / 人工智能,一买,2026-05-28,24.4,MACD绿柱缩小_零下,2026-05-22,28.25,30,137.6
近1月日线+周线,SZ.300170,汉得信息,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 智谱AI概念 / 财税数字化 / Kimi概念 / ERP概念 / 虚拟数字人,MACD绿柱扩大_零上,2026-05-26,19.65,MACD绿柱扩大_零上,2026-05-29,19,26.25,127.5
近1月日线+周线,SZ.002214,*ST大立,军工装备产业链:航空航天/船舶,军工装备产业链 / 航空航天/船舶 / 军工电子Ⅲ / 军工电子Ⅱ,MACD绿柱扩大_零上 / 缺口买:衰竭,2026-06-01,14.13,MACD绿柱扩大_零上 / 缺口买:衰竭,2026-06-01,14.13,29.75,126.6
近1月日线+周线,SH.920879,基康技术,机器人/自动化产业链,机器人/自动化产业链 / 自动化/机器人 / 仪器仪表 / 机器视觉 / 传感器,一买 / MACD绿柱扩大_零上,2026-05-28,15.2,MACD绿柱缩小_零下,2026-05-22,16.92,30,125.6
近1月日线+周线,SZ.301213,观想科技,军工装备产业链:航空航天/船舶,军工装备产业链 / 航空航天/船舶 / 国防军工 / 军工电子Ⅲ / 军工电子Ⅱ,MACD绿柱扩大_零上,2026-05-28,69.48,MACD绿柱扩大_零上,2026-05-29,65,28,123.4
近1月日线+周线,SZ.002491,通鼎互联,通信网络/5G产业链,通信网络/5G产业链 / 通信设备/网络建设 / 通信设备 / 通信设备 / 通信线缆及配套 / 通信设备 / 通信线缆及相关制造业,趋势买 / MACD绿柱扩大_零上,2026-05-28,23.12,缺口买:普通,2026-05-15,22.59,29.75,117.7
近1月日线+周线,SH.688545,兴福电子,半导体产业链,半导体产业链 / 材料/光刻胶 / 电子化学品Ⅲ / 电子化学品Ⅱ,MACD绿柱扩大_零上,2026-05-29,75.2,缺口买:持续,2026-05-15,92.67,28,117.3
近1月日线+周线,SZ.300120,经纬辉开,消费电子/华为链,消费电子/华为链 / 消费电子/华为链 / 光学光电子 / 光学光电子 / 柔性屏(折叠屏) / OLED,背驰买 / 缺口买:持续,2026-05-29,8.3,MACD绿柱缩小_零下,2026-05-22,7.13,30,116.5
近1月日线+周线,SZ.300465,高伟达,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 垂直应用软件 / 数字货币 / 区块链,一买 / 背驰买,2026-05-25,13.52,MACD绿柱缩小_零下,2026-05-29,14.21,30,115.5
近1月日线+周线,SZ.002156,通富微电,半导体产业链,半导体产业链 / 晶圆制造 / 集成电路封测 / 半导体 / 集成电路封装测试,三买,2026-05-19,55.01,缺口买:持续,2026-05-08,57.16,32.5,113.6
近1月日线+周线,SZ.300525,博思软件,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 垂直应用软件 / 财税数字化 / 数据要素 / 数字经济 / 智慧政务,一买,2026-05-28,8.62,MACD绿柱缩小_零下,2026-05-29,8.65,28,113.1
近1月日线+周线,SH.600894,广日股份,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 大数据 / 智慧城市,MACD绿柱缩小_零下,2026-05-28,8.53,一买,2026-05-22,8.14,30,112.7
近1月日线+周线,SZ.000680,山推股份,机器人/自动化产业链,机器人/自动化产业链 / 自动化/机器人 / 工程机械 / 工程机械 / 工程机械整机 / 工程机械概念,MACD绿柱扩大_零上,2026-05-22,11.63,MACD绿柱扩大_零上,2026-05-29,10.75,29.75,110.7
